KEY,VALUE
APP_TITLE,공주 — 마을의 신
HUD_FAITH,신력
HUD_POPULATION,인구
HUD_PROSPERITY,번영
HUD_FEAR,공포
HUD_DAY,일자
HUD_PAUSE,일시정지
HUD_PLAY,재생
HUD_SPEED,속도
HUD_DISASTERS,재해
HUD_BLESSINGS,축복
HUD_HINT_SELECT,권능을 선택하고 마을을 클릭하세요.
HUD_HINT_NOT_ENOUGH,신력이 부족합니다.
HUD_HINT_COOLDOWN,재사용 대기 중…
DISASTER_LIGHTNING_NAME,번개
DISASTER_LIGHTNING_DESC,한 점에 신의 분노를 떨어뜨립니다.
DISASTER_EARTHQUAKE_NAME,지진
DISASTER_EARTHQUAKE_DESC,넓은 지역의 건물을 흔들어 파괴합니다.
DISASTER_FLOOD_NAME,홍수
DISASTER_FLOOD_DESC,범람한 물로 마을을 휩쓸어 버립니다.
DISASTER_PLAGUE_NAME,역병
DISASTER_PLAGUE_DESC,서서히 NPC의 생명을 깎는 전염병.
BLESSING_HARVEST_NAME,풍년
BLESSING_HARVEST_DESC,선택 지역의 번영을 크게 올립니다.
BLESSING_HEAL_NAME,치유
BLESSING_HEAL_DESC,범위 내 모든 생명을 회복시킵니다.
BLESSING_PEACE_NAME,평화의 안개
BLESSING_PEACE_DESC,마을의 공포를 진정시킵니다.
BUILDING_HOUSE_SMALL_NAME,작은 집
BUILDING_HOUSE_BIG_NAME,큰 집
BUILDING_SHOP_NAME,상점
BUILDING_CHURCH_NAME,교회
BUILDING_PARK_NAME,공원
NPC_VILLAGER_NAME,주민
NPC_CHILD_NAME,어린이
NPC_PRIEST_NAME,사제
EVENT_FESTIVAL_NAME,축제가 열렸습니다.
EVENT_STRANGER_NAME,낯선 이가 마을을 찾았습니다.
LOG_NPC_DIED,한 사람이 목숨을 잃었습니다.
LOG_BUILDING_DESTROYED,건물 하나가 무너졌습니다.
LOG_NPC_BORN,새 생명이 태어났습니다.
