KEY,VALUE
APP_TITLE,gongju — 村の神
HUD_FAITH,信仰
HUD_POPULATION,人口
HUD_PROSPERITY,繁栄
HUD_FEAR,恐怖
HUD_DAY,日
HUD_PAUSE,一時停止
HUD_PLAY,再生
HUD_SPEED,速度
HUD_DISASTERS,災害
HUD_BLESSINGS,祝福
HUD_HINT_SELECT,権能を選び、村をクリック。
HUD_HINT_NOT_ENOUGH,信仰が足りません。
HUD_HINT_COOLDOWN,クールダウン中…
DISASTER_LIGHTNING_NAME,雷
DISASTER_LIGHTNING_DESC,一点に神の怒りを落とす。
DISASTER_EARTHQUAKE_NAME,地震
DISASTER_EARTHQUAKE_DESC,広範囲を揺らし建物を壊す。
DISASTER_FLOOD_NAME,洪水
DISASTER_FLOOD_DESC,氾濫した水で村を流す。
DISASTER_PLAGUE_NAME,疫病
DISASTER_PLAGUE_DESC,徐々に命を削る病。
BLESSING_HARVEST_NAME,豊作
BLESSING_HARVEST_DESC,選択地域の繁栄を大きく上げる。
BLESSING_HEAL_NAME,癒し
BLESSING_HEAL_DESC,範囲内のすべての命を回復。
BLESSING_PEACE_NAME,平和の霧
BLESSING_PEACE_DESC,村の恐怖を鎮める。
BUILDING_HOUSE_SMALL_NAME,小さな家
BUILDING_HOUSE_BIG_NAME,大きな家
BUILDING_SHOP_NAME,商店
BUILDING_CHURCH_NAME,教会
BUILDING_PARK_NAME,公園
NPC_VILLAGER_NAME,村人
NPC_CHILD_NAME,子供
NPC_PRIEST_NAME,司祭
EVENT_FESTIVAL_NAME,祭りが始まった。
EVENT_STRANGER_NAME,旅人が村を訪れた。
LOG_NPC_DIED,一つの命が失われた。
LOG_BUILDING_DESTROYED,建物が崩れた。
LOG_NPC_BORN,新しい命が生まれた。
