KEY,VALUE
APP_TITLE,gongju — 小镇之神
HUD_FAITH,信仰
HUD_POPULATION,人口
HUD_PROSPERITY,繁荣
HUD_FEAR,恐惧
HUD_DAY,日
HUD_PAUSE,暂停
HUD_PLAY,播放
HUD_SPEED,速度
HUD_DISASTERS,灾难
HUD_BLESSINGS,祝福
HUD_HINT_SELECT,选择神权并点击小镇。
HUD_HINT_NOT_ENOUGH,信仰不足。
HUD_HINT_COOLDOWN,冷却中…
DISASTER_LIGHTNING_NAME,闪电
DISASTER_LIGHTNING_DESC,在一点降下神之怒火。
DISASTER_EARTHQUAKE_NAME,地震
DISASTER_EARTHQUAKE_DESC,大范围摇撼，毁坏建筑。
DISASTER_FLOOD_NAME,洪水
DISASTER_FLOOD_DESC,以洪水席卷小镇。
DISASTER_PLAGUE_NAME,瘟疫
DISASTER_PLAGUE_DESC,缓慢吞噬生命的疫病。
BLESSING_HARVEST_NAME,丰收
BLESSING_HARVEST_DESC,大幅提升所选区域的繁荣。
BLESSING_HEAL_NAME,治愈
BLESSING_HEAL_DESC,恢复范围内所有生命。
BLESSING_PEACE_NAME,和平之雾
BLESSING_PEACE_DESC,平息小镇的恐惧。
BUILDING_HOUSE_SMALL_NAME,小屋
BUILDING_HOUSE_BIG_NAME,大屋
BUILDING_SHOP_NAME,商店
BUILDING_CHURCH_NAME,教堂
BUILDING_PARK_NAME,公园
NPC_VILLAGER_NAME,村民
NPC_CHILD_NAME,小孩
NPC_PRIEST_NAME,祭司
EVENT_FESTIVAL_NAME,节日开始了。
EVENT_STRANGER_NAME,陌生人来访。
LOG_NPC_DIED,一个生命逝去。
LOG_BUILDING_DESTROYED,一座建筑倒塌。
LOG_NPC_BORN,新生命诞生。
